,Titles,Number of Locations,Total Words,Unique Words
0,A Christmas Carol,7,15930,4351
1,A Tale of Two Cities,59,63521,9953
2,Barnaby Rudge,72,120438,13385
3,Bleak House,122,164357,17541
4,David Copperfield,113,161303,14773
5,Dombey and Son,98,171291,17656
6,Great Expectations,75,82842,11722
7,Hard Times,34,48715,9395
8,Little Dorrit,127,157570,15651
9,Martin Chuzzlewit,88,160157,16188
10,Nicholas Nickleby,93,158363,15330
11,Oliver Twist,53,76804,11137
12,Our Mutual Friend,121,154104,17112
13,The Battle of Life,8,16726,4159
14,The Chimes,5,14637,4320
15,The Haunted Man,11,15688,4459
16,The Pickwick Papers,101,155711,16015
