,Titles,Year,Total Words,Unique Words
0,A Christmas Carol,1843,15930,4351
1,A Tale of Two Cities,1859,63521,9953
2,Barnaby Rudge,1841,120438,13385
3,Bleak House,1853,164357,17541
4,David Copperfield,1850,161303,14773
5,Dombey and Son,1848,171291,17656
6,Great Expectations,1861,82842,11722
7,Hard Times,1854,48715,9395
8,Little Dorrit,1857,157570,15651
9,Martin Chuzzlewit,1844,160157,16188
10,Nicholas Nickleby,1839,158363,15330
11,Old curiosity shop,1841,103559,12512
12,Oliver Twist,1839,76804,11137
13,Our Mutual Friend,1865,154104,17112
14,The Battle of Life,1846,16726,4159
15,The Chimes,1844,14637,4320
16,The Cricket on the Hearth,1845,14812,4363
17,The Haunted Man,1848,15688,4459
18,The Pickwick Papers,1837,155711,16015
